Post_ID,Post_Date,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level
Post_6,2022-11-23,Instagram,#Challenge,Shorts,Australia,1323566,136282,86979,47129,Low
Post_57,2022-06-30,Instagram,#Challenge,Live Stream,Australia,2824818,34126,53516,29452,Low
Post_230,2022-07-31,Instagram,#Challenge,Shorts,Australia,1498512,205870,16834,34865,Medium
Post_403,2023-09-17,Instagram,#Challenge,Live Stream,Australia,901819,73906,1462,12876,Low
Post_797,2022-12-17,Instagram,#Challenge,Post,Australia,2809655,296700,36554,5867,Low
Post_1066,2023-04-13,TikTok,#Challenge,Shorts,Australia,1370433,360983,28865,7949,Medium
Post_1242,2022-03-08,TikTok,#Challenge,Reel,Australia,3327212,134040,6283,36793,High
Post_1371,2022-04-14,Instagram,#Challenge,Tweet,Australia,1180989,109429,18098,33218,Medium
Post_1439,2023-11-24,TikTok,#Challenge,Video,Australia,2793453,52138,49038,10863,Medium
Post_1495,2023-12-21,Instagram,#Challenge,Live Stream,Australia,4727831,399257,28383,10368,Low
Post_1567,2023-01-06,Instagram,#Challenge,Reel,Australia,797275,354616,31544,29280,High
Post_1635,2023-02-20,TikTok,#Challenge,Video,Australia,1888760,461087,43011,22628,High
Post_1733,2023-04-03,Instagram,#Challenge,Video,Australia,4039664,215178,17518,34782,Medium
Post_2042,2023-01-13,Instagram,#Challenge,Reel,Australia,453984,374672,81490,46887,High
Post_2316,2022-12-12,TikTok,#Challenge,Video,Australia,4720948,4313,9479,36144,High
Post_2326,2023-01-11,Instagram,#Challenge,Reel,Australia,829327,240625,50607,2433,High
Post_2439,2023-02-10,TikTok,#Challenge,Reel,Australia,2586745,404333,74597,46511,Medium
Post_2629,2022-03-24,TikTok,#Challenge,Shorts,Australia,2484617,291379,87937,19854,High
Post_2905,2022-02-23,TikTok,#Challenge,Live Stream,Australia,750309,254612,13280,27574,Medium
Post_2914,2022-06-08,TikTok,#Challenge,Reel,Australia,4889698,335718,85215,14194,High
Post_3136,2023-05-24,TikTok,#Challenge,Live Stream,Australia,1108583,156718,15931,27325,High
Post_3254,2022-12-11,TikTok,#Challenge,Live Stream,Australia,1788144,111600,71519,19673,High
Post_3499,2023-06-25,Instagram,#Challenge,Video,Australia,4559245,477588,64375,23246,High
Post_3528,2023-09-11,Instagram,#Challenge,Reel,Australia,1473168,236845,44426,19742,Low
Post_3584,2022-05-29,TikTok,#Challenge,Tweet,Australia,4813536,107229,29142,44927,Low
Post_3975,2022-09-10,TikTok,#Challenge,Tweet,Australia,1823238,494324,85923,40077,Medium
Post_4455,2023-09-29,Instagram,#Challenge,Reel,Australia,3924268,498261,8499,11392,High
Post_4577,2023-09-23,Instagram,#Challenge,Shorts,Australia,2763379,424976,27036,13761,Low
Post_4841,2023-03-28,TikTok,#Challenge,Tweet,Australia,116463,420019,84514,30850,High
Post_31,2022-03-22,Instagram,#Comedy,Reel,Australia,1365655,156164,84930,18303,Low
Post_121,2023-10-01,Instagram,#Comedy,Shorts,Australia,2484315,101605,80028,36281,High
Post_334,2023-07-27,TikTok,#Comedy,Post,Australia,2847461,439633,17966,47276,Medium
Post_730,2023-01-26,Instagram,#Comedy,Shorts,Australia,2411448,166605,3962,42255,High
Post_868,2022-09-24,Instagram,#Comedy,Video,Australia,2121725,45509,307,8958,Low
Post_1272,2023-12-04,Instagram,#Comedy,Tweet,Australia,2428341,178208,2717,10620,High
Post_1400,2023-01-11,Instagram,#Comedy,Live Stream,Australia,23823,40878,92816,32364,Medium
Post_1704,2022-10-08,TikTok,#Comedy,Post,Australia,28489,444994,57777,15240,High
Post_1796,2022-02-15,TikTok,#Comedy,Video,Australia,3929151,111838,69221,43570,High
Post_2033,2022-05-30,Instagram,#Comedy,Tweet,Australia,1163746,382193,79589,38016,High
Post_2098,2023-09-20,TikTok,#Comedy,Live Stream,Australia,3003843,320819,72442,1410,High
Post_2179,2023-12-30,TikTok,#Comedy,Post,Australia,1343257,494555,85238,41759,Medium
Post_2218,2023-08-28,Instagram,#Comedy,Video,Australia,213956,293513,50197,22937,Low
Post_2251,2022-04-21,TikTok,#Comedy,Tweet,Australia,994341,435936,50179,47236,Low
